path	colname
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 9
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	TEST
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 11
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 12
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 13
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 14
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	TOTAL
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 16
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 17
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 18
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	TRAIN
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 1
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 2
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 3
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 4
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	DEV
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 6
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 7
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 8
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 9
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	TEST
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 11
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 12
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 13
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 14
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	TOTAL
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 16
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 17
..\data_exploration\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 18
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	TRAIN
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 1
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 2
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 3
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 4
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	DEV
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 6
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 7
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 8
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 9
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	TEST
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 11
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 12
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 13
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 14
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	TOTAL
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 16
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 17
..\data_exploration\tag_stats\tag_stats_isolating.xlsx	Unnamed: 18
..\results\baselines_pos.xlsx	Language
..\results\baselines_pos.xlsx	Baseline
..\results\baselines_sentiment.xlsx	Language
..\results\baselines_sentiment.xlsx	Baseline
..\results\melted_results_pos.xlsx	Train Group
..\results\melted_results_pos.xlsx	Train Language
..\results\melted_results_pos.xlsx	Test Language
..\results\melted_results_pos.xlsx	Cross
..\results\melted_results_pos.xlsx	Test Group
..\results\melted_results_pos.xlsx	Within
..\results\melted_results_pos.xlsx	Transfer
..\results\melted_results_pos.xlsx	Group Difference
..\results\melted_results_sentiment.xlsx	Train Group
..\results\melted_results_sentiment.xlsx	Train Language
..\results\melted_results_sentiment.xlsx	Test Language
..\results\melted_results_sentiment.xlsx	Cross
..\results\melted_results_sentiment.xlsx	Test Group
..\results\melted_results_sentiment.xlsx	Within
..\results\melted_results_sentiment.xlsx	Transfer
..\results\melted_results_sentiment.xlsx	Group Difference
..\results\pos_within_cross_accuracy.xlsx	Group
..\results\pos_within_cross_accuracy.xlsx	Language
..\results\pos_within_cross_accuracy.xlsx	Cross-Language-Accuracy
..\results\pos_within_cross_accuracy.xlsx	Within-Language-Accuracy
..\results\pos_within_cross_accuracy.xlsx	Mean-Accuracy-Over-Language
..\results\pos_within_cross_accuracy.xlsx	PUD
..\results\results_pos.xlsx	Language
..\results\results_pos.xlsx	English
..\results\results_pos.xlsx	Arabic
..\results\results_pos.xlsx	Bulgarian
..\results\results_pos.xlsx	Basque
..\results\results_pos.xlsx	Finnish
..\results\results_pos.xlsx	Hebrew
..\results\results_pos.xlsx	Croatian
..\results\results_pos.xlsx	Japanese
..\results\results_pos.xlsx	Korean
..\results\results_pos.xlsx	Russian
..\results\results_pos.xlsx	Slovak
..\results\results_pos.xlsx	Turkish
..\results\results_pos.xlsx	Vietnamese
..\results\results_pos.xlsx	Chinese
..\results\results_pos_postprocessed.xlsx	Group
..\results\results_pos_postprocessed.xlsx	Test\Train
..\results\results_pos_postprocessed.xlsx	Bulgarian
..\results\results_pos_postprocessed.xlsx	English
..\results\results_pos_postprocessed.xlsx	Russian
..\results\results_pos_postprocessed.xlsx	Slovak
..\results\results_pos_postprocessed.xlsx	Croatian
..\results\results_pos_postprocessed.xlsx	Chinese
..\results\results_pos_postprocessed.xlsx	Vietnamese
..\results\results_pos_postprocessed.xlsx	Thai
..\results\results_pos_postprocessed.xlsx	Finnish
..\results\results_pos_postprocessed.xlsx	Basque
..\results\results_pos_postprocessed.xlsx	Japanese
